255,255,255
253,252,251
251,249,247
249,246,243
247,243,239
245,240,235
243,237,231
241,234,227
239,231,223
237,228,219
235,225,215
233,222,211
231,219,207
229,216,203
227,213,199
225,210,195
223,207,191
221,204,187
219,201,183
217,198,179
215,195,175
213,192,171
211,189,167
209,186,163
207,183,159
205,180,155
203,177,151
201,174,147
199,171,143
197,168,139
195,165,135
193,162,131
191,159,127
189,156,123
187,153,119
185,150,115
183,147,111
181,144,107
179,141,103
177,138,99
175,135,95
173,132,91
171,129,87
169,126,83
167,123,79
165,120,75
163,117,71
161,114,67
159,111,63
157,108,59
155,105,55
153,102,51
151,99,47
149,96,43
147,93,39
145,90,35
143,87,31
141,84,27
139,81,23
137,78,19
135,75,15
133,72,11
131,69,7
129,66,3
127,63,1
125,60,5
123,57,9
121,54,13
119,51,17
117,48,21
115,45,25
113,42,29
111,39,33
109,36,37
107,33,41
105,30,45
103,27,49
101,24,53
99,21,57
97,18,61
95,15,65
93,12,69
91,9,73
89,6,77
87,3,81
85,0,85
83,3,89
81,6,93
79,9,97
77,12,101
75,15,105
73,18,109
71,21,113
69,24,117
67,27,121
65,30,125
63,33,129
61,36,133
59,39,137
57,42,141
55,45,145
53,48,149
51,51,153
49,54,157
47,57,161
45,60,165
43,63,169
41,66,173
39,69,177
37,72,181
35,75,185
33,78,189
31,81,193
29,84,197
27,87,201
25,90,205
23,93,209
21,96,213
19,99,217
17,102,221
15,105,225
13,108,229
11,111,233
9,114,237
7,117,241
5,120,245
3,123,249
0,126,253
2,129,255
4,132,251
6,135,247
8,138,243
10,141,239
12,144,235
14,147,231
16,150,227
18,153,223
20,156,219
22,159,215
24,162,211
26,165,207
28,168,203
30,171,199
32,174,195
34,177,191
36,180,187
38,183,183
40,186,179
42,189,175
44,192,171
46,195,167
48,198,163
50,201,159
52,204,155
54,207,151
56,210,147
58,213,143
60,216,139
62,219,135
64,222,131
66,225,127
68,228,123
70,231,119
72,234,115
74,237,111
76,240,107
78,243,103
80,246,99
82,249,95
84,252,91
86,255,87
88,252,83
90,249,79
92,246,75
94,243,71
96,240,67
98,237,63
100,234,59
102,231,55
104,228,51
106,225,47
108,222,43
110,219,39
112,216,35
114,213,31
116,210,27
118,207,23
120,204,19
122,201,15
124,198,11
126,195,7
128,192,3
130,189,1
132,186,5
134,183,9
136,180,13
138,177,17
140,174,21
142,171,25
144,168,29
146,165,33
148,162,37
150,159,41
152,156,45
154,153,49
156,150,53
158,147,57
160,144,61
162,141,65
164,138,69
166,135,73
168,132,77
170,129,81
172,126,85
174,123,89
176,120,93
178,117,97
180,114,101
182,111,105
184,108,109
186,105,113
188,102,117
190,99,121
192,96,125
194,93,129
196,90,133
198,87,137
200,84,141
202,81,145
204,78,149
206,75,153
208,72,157
210,69,161
212,66,165
214,63,169
216,60,173
218,57,177
220,54,181
222,51,185
224,48,189
226,45,193
228,42,197
230,39,201
232,36,205
234,33,209
236,30,213
238,27,217
240,24,221
242,21,225
244,18,229
246,15,233
248,12,237
250,9,241
252,6,245
254,3,249
255,0,253
